Name,RH57,RH1,RH58,RH27,RH24,RH54,RH56,RH2,RH40,RH41,RH9,RH30,RH25,RH55,RH12,RH32,RH43,RH16,RH50,RH18,RH51,RH37,RH42,RH64,RH49,RH20,RH33,RH46,T47be,T22,T34,T97be,T87be,T67be,T35,T95be,T63be,T55be,T81be,T89be,T68be,T86be,T41,T62be,T69be,T44be,T49be,T82be,T21,T93be,T46be,T73be,T36,T4,T14,T88be,T66be
Myristelaidic_acid,1114.23544,706.3578989,836.9430422,1001.831463,,1346.954349,1037.208929,1444.953287,1472.341128,1047.210344,833.4519153,,686.6541289,,693.0350054,,726.547809,,,,1360.146396,,,972.9196631,927.7398656,,1497.285471,,970.5158448,1579.972804,,1125.649243,,899.5791024,,,,966.1314554,1304.651544,705.7287244,810.4285014,,,,918.2586886,1449.79167,1488.71363,1266.972286,985.5542229,,1432.987032,864.1032263,,,810.3483841,844.9817369,1431.760665
Tridecanoic_acid,,14.23332476,,1010.691707,20.77429214,,,10.32187431,10.07515616,,8.504830041,7.788200213,19.74047905,,,10946.10662,,,,,,,,,6.97905656,,,,25.00628205,,,28.87753654,27.31464529,25.86333137,,28.31986219,,12.82963109,,27.54554265,,1017.38013,,,21.95801411,13.1622274,329.3010982,,21.79606512,15.13450948,4639.481852,,,15.99423552,12.75875991,,
10Z_Pentadecenoic_Acid,205.8870594,202.8499483,244.0180519,1105.859591,446.220383,639.2189767,288.3957273,906.9185776,217.4117906,3820.753349,4142.212005,502.4832361,74.30160973,333.5258138,934.7325093,2093.833632,1090.200273,,1368.054503,2277.897257,235.2309387,,426.0053295,290.2918834,2316.913689,,652.1215755,,,1018.967515,818.8976034,268.6787692,902.2668605,258.7962641,1330.701382,576.4704725,,541.4507922,13721.93063,961.4626976,1149.1809,106.4916947,1540.004022,672.558866,357.5468445,1919.857579,,385.4932691,405.9190474,253.8851079,346.5645906,265.8914787,332.8371458,450.8120726,416.6327791,2841.494199,61.75787483
5Z_8Z_11Z_14Z_17Z_Eicosapentaenoic_Acid,358.676432,768.5352974,7340.127823,4177.304668,477.7298393,1188.506319,883.9202688,34624.11558,2086.903604,3888.869955,1999.13762,1320.336515,2026.129215,3619.187996,3794.655203,175.6219078,103.1442567,101.6705405,2272.398554,121.9156944,121.7016134,73.0866453,237.683695,1066.717453,161.7727145,99.44843298,1600.436653,124.9512352,1910.837565,340129.2193,85.11681358,1890.597929,10812.06735,284.9966543,66.35687369,126.357726,2163.588667,1941.493466,5649.282003,273.6602843,261.8003043,782.0595862,1436.47999,6867.025306,4431.834473,2163.176085,898.8173844,352.6029544,941.5752929,7193.955276,239.7940027,7904.938235,266.6845755,14832.8531,150094.6047,3129.094516,1754.776792
Myristic_acid,254.3561116,31241.41061,,84035.2282,689.0170593,13107.50235,229.5255102,24180.26535,49774.80663,3409.031767,4228.039389,4725.178456,28574.54868,35138.24101,241.5084423,2630.546674,193.1213532,93.60708263,310.2667286,147.8232486,245.2089707,124.209912,220.1064767,447.2435409,4437.773309,78.66623745,538.3121548,214.2829036,29609.84285,43068.13445,220.4403807,56250.8415,8007.92896,14358.21856,86.43282882,8331.21283,,356.2265788,4686.302241,49315.38573,475.9154372,93173.16671,7238.417445,1891.860805,12158.0955,7507.251387,3678.976059,585.6459074,85755.79096,5557.604328,44921.39647,12848.37972,403.4348089,41585.3616,60664.56053,4023.249114,13923.74267
Gamma_Linolenic_acid,1299.180336,2544.999392,241079.6151,10253.88394,3833.077986,3859.671422,8392.035077,12155.27632,127268.9413,4827.681152,4328.569625,11086.84215,10637.86935,7298.467824,1564.790842,837.4565631,460.9749589,458.8945312,762.1289545,123.5906106,465.4533195,279.7524291,819.9284998,4746.891546,10014.95831,73.33897867,4549.108248,733.0058528,2134.249803,99425.78911,54.28280543,11229.61297,12910.65848,4659.729957,272.2490904,6635.090023,171.1243545,11632.33728,5234.86599,1233.2603,1625.47805,11488.62375,16261.20534,7861.554803,8929.513799,4878.350778,11379.42242,9009.30287,10123.56295,10763.44858,798.8954354,36654.14928,3043.837047,16567.1417,64465.38006,4784.505757,14934.35362
Alpha_Linolenic_Acid,1292.710651,2415.992927,229474.1672,9656.188886,3660.204451,3687.016087,7823.137683,11650.61856,126500.7212,4851.201781,4114.741713,10687.99246,10491.3949,7002.379223,1571.832147,805.5130529,437.4028968,406.0384497,746.7473034,83.61099305,463.0706991,271.834382,757.8221691,4794.206005,9403.63788,48.42607296,4557.757332,682.5378816,2137.448361,97868.01962,38.07101178,11239.86251,12191.82337,4719.813992,253.9597046,6579.387772,142.7793525,10736.95673,5059.959346,1169.510533,1586.843224,10859.7543,15660.93242,7823.612024,8696.536811,4816.709662,10966.38346,9130.132788,10362.18366,10587.65072,713.3521967,35736.99872,2944.083429,16367.12065,64677.15141,4681.374016,14346.21913
Palmitoylethanolamide,200616.2467,13255.32603,9241.568121,28762.26716,8667.694244,338078.1235,2539.230701,135566.602,44150.94202,314190.1803,205952.5721,240171.2175,136463.7383,7420.182697,121108.0804,35074.40261,305169.9573,16624.96572,130881.1085,11358.79153,22775.48752,87199.06354,17573.79462,2921.32629,33666.89063,36235.93778,9499.705685,17754.83062,69482.17535,302018.8189,97374.86132,520064.1563,172562.1757,27064.42085,114422.0116,122999.6212,41391.29437,366920.5371,100038.5309,27962.98772,25508.97067,54584.39947,10189.71373,152239.0225,38133.85807,128925.2566,70046.82241,3676.934654,133083.7955,81489.30997,81966.18731,23239.92406,215562.4289,174287.4125,504629.27,43259.41897,120959.5069
Palmitoleic_Acid,4553.709063,5778.199699,31513.20715,19141.21834,2738.654607,5943.84906,2311.425552,36473.59958,170822.5413,7573.399816,11130.82101,9502.323341,17067.44422,7284.985892,1650.96312,1548.439258,1616.119436,625.0133831,1664.269071,1035.671577,1024.952664,892.3678747,1296.304471,7390.139069,6705.07896,567.4080203,5449.246672,1278.416557,20525.21757,75677.16355,8311.992802,18282.31121,9196.244901,7952.441129,600.5709812,11056.14213,732.0424115,7539.636153,7494.65873,1539.528735,1649.372626,16548.9385,8432.160277,3618.595385,7739.333493,11655.76777,2057.51825,8478.48403,32209.06532,20485.80324,7848.543312,21018.28972,1553.875643,47916.99488,139353.9295,7209.860099,14359.94223
Palmitelaidic_acid,9129.68812,11328.52125,62476.41197,37616.76718,5731.63683,11970.54104,4831.022525,66724.28828,231769.27,15307.91696,20197.54484,18676.16825,33639.52545,15696.0192,3552.44999,3503.642441,3518.838007,1584.510245,3538.205208,2504.406759,2498.264515,2419.551312,2959.651693,15068.3909,13675.15628,1550.530927,11363.04437,2799.20963,39940.38378,143777.9232,16179.25662,34442.39774,18002.36696,15129.34612,1605.582341,21136.07582,1949.428836,15482.02552,14812.19198,3552.888325,3391.289109,33609.70089,15541.79252,6985.856014,14836.75353,21062.79101,4325.545182,16554.66817,62076.49793,37466.66843,15893.59058,40179.58556,3510.752798,87246.33628,200875.6747,14172.20474,28884.8616
4Z_7Z_10Z_13Z_16Z_19Z_Docosahexaenoic_Acid_DHA,12838.74719,4190.458007,19685.74563,50252.40595,8095.748414,16011.48971,11537.23413,63602.72268,11457.20559,26868.31068,16336.2401,9093.651321,22953.60248,20231.52941,16650.44548,753.4902815,2091.579776,3110.365224,20400.65007,97.3160608,1676.671186,3221.954589,2852.21598,14282.06665,10111.3879,727.063588,14197.20962,4356.394129,7898.800531,217461.5197,672.6870242,26924.20275,3313.934036,5941.217191,325.6355424,12636.6435,22887.91879,15168.11602,25534.75273,2128.325874,4704.815486,7687.462146,14952.15427,25077.26714,5125.558466,21500.30107,1377.689871,11983.15906,4138.830475,26382.5426,2508.441574,25138.04873,3785.186291,51006.80329,174462.7371,31171.04432,14140.66266
Arachidonic_acid,15476.46407,11852.43226,43013.09059,25171.21268,10940.60706,19791.16965,11185.6466,90475.24342,47071.35971,28606.84731,21870.06849,17145.30213,25528.59356,17683.18424,18076.56158,2960.15262,6313.658515,5110.230308,15009.56622,1397.330398,3103.051296,7957.789749,6714.335629,15238.09083,11837.42654,2448.193632,15842.59281,7056.55325,20948.95404,142932.9026,4133.314776,41674.12846,10500.16459,9746.580736,1985.21876,17584.61148,6386.379554,14465.99341,23541.69561,3337.953882,7386.486519,21078.01246,15962.81534,21521.10814,8076.8384,23119.67744,6870.582482,16480.51302,15580.01545,30775.95212,5765.23301,52795.89923,8118.785242,80583.20007,132665.5903,27438.7228,17348.67705
Retinoic_acid,22.94374065,134.1460715,45.40937208,171.6260309,54.23066627,116.4794722,76.13998887,185.2443601,556.2957566,166.5918784,28.77620417,69.76947936,205.6666966,61.62303354,70.92383064,18.08458315,29.34348025,15.42828321,39.14770609,6.982406542,1.719649203,14.12684749,31.17342026,22.26709832,66.65218534,11.03045257,26.81907632,9.996933881,123.16301,396.8702143,10.93370628,58.34303708,40.08543652,69.25865402,17.88232607,160.6977779,7.668078908,94.21852456,180.7507187,149.9833113,21.64605759,227.389722,91.92714514,363.4279694,93.68042771,54.55208195,42.3916846,414.8255044,82.07017052,171.020275,132.9245085,642.688068,26.5682504,127.7664646,179.2616708,79.55412006,156.9821004
Linoelaidic_acid,18382.94003,26547.46216,295573.2094,52566.22865,14731.59927,20125.56106,19142.50582,94799.79456,202315.0032,19450.13368,27191.4574,36611.49066,83525.4544,26790.75654,10439.11308,12540.84563,8269.11399,5843.922669,10510.97688,12929.45133,7871.354687,7926.178596,9193.137324,31727.64553,25347.85538,4286.184332,18614.71396,13910.31483,39176.26337,181420.3766,1995.945686,55082.63029,33690.21211,31265.95208,6032.534577,24203.34281,4211.799094,23171.8547,25685.19292,13003.17685,9913.765026,70278.69085,29273.44346,21042.12163,25391.74608,29785.54192,19095.26865,22555.24788,68319.69318,35874.02325,12301.65264,66129.12961,14989.84891,77743.52971,150553.5101,30052.40541,52760.38532
Linoleic_acid,17411.97054,24487.71802,257457.1603,47232.74579,14290.73756,19339.85439,18060.72836,83549.60802,179135.904,18366.75382,25039.60427,33551.44781,73077.63623,24898.31038,10814.7826,12845.90674,8484.113481,6407.172875,10188.16058,12855.69312,8191.015208,8899.817035,8962.272735,28960.24053,23272.54713,5110.872454,17332.27114,13639.55471,36030.4676,158974.5172,3238.367872,49234.98168,30501.1568,28556.35065,6616.7085,22675.1179,4803.239276,21300.25502,23943.68424,12918.37347,9820.034738,62956.30605,27414.25085,19920.54005,23731.7849,27097.89154,18179.33444,21203.3136,61152.50207,32727.10321,11950.07565,59367.15067,14325.36896,67916.09626,131871.2296,27382.56346,47195.62638
